id,name,longitude,latitude,elevation,wigos_id,available_params,country,start_date,end_date,detailed_summary,is_hourly,is_daily,is_minutely
0-0-0-115,GUIGLO,22.06631,58.92096,NA,0-0-0-115,air_temperature:2.0:point:PT0S,Estonia,2020-01-01,2026-05-30,Country: Estonia | Parameters: Air Temperature [°C] (2m),true,true,false
0-0-0-124,GRAHAM,23.81566,58.95108,NA,0-0-0-124,air_temperature:2.0:point:PT0S,Estonia,2020-01-01,2026-05-30,Country: Estonia | Parameters: Air Temperature [°C] (2m),true,true,false
0-0-0-128,KIELDER_CASTLE,23.51357,58.57269,NA,0-0-0-128,air_temperature:2.0:point:PT0S,Estonia,2020-01-01,2026-05-30,Country: Estonia | Parameters: Air Temperature [°C] (2m),true,true,false
0-0-0-134,KORHOGO_AGRI,24.73395,58.97319,NA,0-0-0-134,air_temperature:2.0:point:PT0S,Estonia,2020-01-01,2026-05-30,Country: Estonia | Parameters: Air Temperature [°C] (2m),true,true,false
0-0-0-135,LAKE_VYRNWY_NO_2,25.4092,58.8087,NA,0-0-0-135,air_temperature:2.0:point:PT0S,Estonia,2020-01-01,2026-05-30,Country: Estonia | Parameters: Air Temperature [°C] (2m),true,true,false
0-0-0-141,MANSON,26.23074,59.14135,NA,0-0-0-141,air_temperature:2.0:point:PT0S,Estonia,2020-01-01,2026-05-30,Country: Estonia | Parameters: Air Temperature [°C] (2m),true,true,false
0-0-0-144,Prince_George_Plaza_400,26.4151,58.74983,NA,0-0-0-144,air_temperature:2.0:point:PT0S,Estonia,2020-01-01,2026-05-30,Country: Estonia | Parameters: Air Temperature [°C] (2m),true,true,false
0-0-0-145,INGENIKA_POINT,26.9521,58.8654,NA,0-0-0-145,air_temperature:2.1:point:PT0S,Estonia,2020-01-01,2026-05-30,Country: Estonia | Parameters: Air Temperature [°C] (2.1m),true,true,false
0-0-0-147,MANKONO,26.2728,58.8727,NA,0-0-0-147,air_temperature:2.0:point:PT0S,Estonia,2020-01-01,2026-05-30,Country: Estonia | Parameters: Air Temperature [°C] (2m),true,true,false
0-0-0-214,SHAWBURY,21.81423,58.38278,NA,0-0-0-214,air_temperature:2.0:point:PT0S,Estonia,2020-01-01,2026-05-30,Country: Estonia | Parameters: Air Temperature [°C] (2m),true,true,false
0-0-0-218,LONE_BUTTE,22.05792,57.91358,NA,0-0-0-218,air_temperature:2.0:point:PT0S,Estonia,2020-01-01,2026-05-30,Country: Estonia | Parameters: Air Temperature [°C] (2m),true,true,false
0-0-0-226,MIDDLE_LAKE,23.97019,58.09863,NA,0-0-0-226,air_temperature:2.0:point:PT0S,Estonia,2020-01-01,2026-05-30,Country: Estonia | Parameters: Air Temperature [°C] (2m),true,true,false
0-0-0-227,GAVIN,23.26008,57.78299,NA,0-0-0-227,air_temperature:2.0:point:PT0S,Estonia,2020-01-01,2026-05-30,Country: Estonia | Parameters: Air Temperature [°C] (2m),true,true,false
0-0-0-231,Sourougbila,24.48512,58.38457,NA,0-0-0-231,air_temperature:2.0:point:PT0S,Estonia,2020-01-01,2026-05-30,Country: Estonia | Parameters: Air Temperature [°C] (2m),true,true,false
0-0-0-233,PG_Marsulex,25.60016,58.37781,NA,0-0-0-233,air_temperature:2.0:point:PT0S,Estonia,2020-01-01,2026-05-30,Country: Estonia | Parameters: Air Temperature [°C] (2m),true,true,false
0-0-0-242,SASSANDRA,26.4613,58.2641,NA,0-0-0-242,air_temperature:2.0:point:PT0S,Estonia,2020-01-01,2026-05-30,Country: Estonia | Parameters: Air Temperature [°C] (2m),true,true,false
0-0-0-247,TOULEPLEU_VIGICLIMM,26.03776,57.79005,NA,0-0-0-247,air_temperature:2.0:point:PT0S,Estonia,2020-01-01,2026-05-30,Country: Estonia | Parameters: Air Temperature [°C] (2m),true,true,false
0-0-0-249,SAN_PEDRO_AWOS,27.0195,57.8463,NA,0-0-0-249,air_temperature:2.0:point:PT0S,Estonia,2020-01-01,2026-05-30,Country: Estonia | Parameters: Air Temperature [°C] (2m),true,true,false
