wigos_id,elevation,country,region,name
0-0-0-115,NA,NA,NA,NA
0-0-0-124,NA,NA,NA,NA
0-0-0-128,NA,NA,NA,NA
0-0-0-134,NA,NA,NA,NA
0-0-0-135,NA,NA,NA,NA
0-0-0-141,NA,NA,NA,NA
0-0-0-144,NA,NA,NA,NA
0-0-0-145,NA,NA,NA,NA
0-0-0-147,NA,NA,NA,NA
0-0-0-214,NA,NA,NA,NA
0-0-0-218,NA,NA,NA,NA
0-0-0-226,NA,NA,NA,NA
0-0-0-227,NA,NA,NA,NA
0-0-0-231,NA,NA,NA,NA
0-0-0-233,NA,NA,NA,NA
0-0-0-242,NA,NA,NA,NA
0-0-0-247,NA,NA,NA,NA
0-0-0-249,NA,NA,NA,NA
0-0-0-38,NA,NA,NA,NA
0-0-0-46,NA,NA,NA,NA
0-0-0-58,NA,NA,NA,NA
0-20000-0-01001,10,Norway,Europe,JAN MAYEN
0-20000-0-01002,8,Norway,Europe,VERLEGENHUKEN
0-20000-0-01003,10,Norway,Europe,HORNSUND
0-20000-0-01006,14,Norway,Europe,EDGEOYA
0-20000-0-01007,8,Norway,Europe,NY-ALESUND
0-20000-0-01008,28,Norway,Europe,SVALBARD AP
0-20000-0-01009,5,Norway,Europe,KARL XII OYA
0-20000-0-01010,10,Norway,Europe,ANDOYA
0-20000-0-01011,10,Norway,Europe,KVITOYA
0-20000-0-01013,7,Norway,Europe,ISFJORD RADIO
0-20000-0-01015,33,Norway,Europe,HEKKINGEN LH
0-20000-0-01016,20,Norway,Europe,KONGSOYA
0-20000-0-01017,20,Norway,Europe,AKSELOYA
0-20000-0-01018,435,Norway,Europe,RADAR Andoya
0-20000-0-01020,10,Norway,Europe,SORKAPPOYA
0-20000-0-01023,76,Norway,Europe,BARDUFOSS
0-20000-0-01025,8,Norway,Europe,TROMSO/LANGNES
0-20000-0-01026,100,Norway,Europe,TROMSO
0-20000-0-01027,10,Norway,Europe,TROMSO-HOLT
0-20000-0-01028,18,Norway,Europe,BJORNOYA
0-20000-0-01030,982,Norway,Europe,KISTEFJELL
0-20000-0-01033,21,Norway,Europe,TORSVAG LH
0-20000-0-01035,710,Norway,Europe,LYNGEN-GJERDVASSBU
0-20000-0-01037,20,Norway,Europe,SKIBOTN
0-20000-0-01042,437,Norway,Europe,RADAR Hasvik
0-20000-0-01043,10,Norway,Europe,ROGNSUNDET
0-20000-0-01044,6.4,Norway,Europe,HASVIK AP
0-20000-0-01045,20,Norway,Europe,NORDSTRAUM I KVAENANGEN
0-20000-0-01046,6,Norway,Europe,SORKJOSEN
0-20000-0-01047,307,Norway,Europe,KAUTOKEINO
0-20000-0-01049,3,Norway,Europe,ALTA AP
0-20000-0-01052,81,Norway,Europe,HAMMERFEST AP
0-20000-0-01055,13,Norway,Europe,FRUHOLMEN LH
0-20000-0-01057,286,Norway,Europe,CUOVDDATMOHKKI
0-20000-0-01058,381,Norway,Europe,SUOLOVUOPMI
0-20000-0-01059,5,Norway,Europe,BANAK
0-20000-0-01062,6,Norway,Europe,HOPEN
0-20000-0-01064,591,Norway,Europe,ISKORAS II
0-20000-0-01065,131,Norway,Europe,KARASJOK
0-20000-0-01068,14,Norway,Europe,HONNINGSVAG AP
0-20000-0-01074,11.88,Norway,Europe,MEHAMN AP
0-20000-0-01076,32,Norway,Europe,TANA BRU
0-20000-0-01078,8,Norway,Europe,SLETTNES LH
0-20000-0-01082,54.89,Norway,Europe,NYRUD
0-20000-0-01083,12.8,Norway,Europe,BERLEVAG AP
0-20000-0-01084,27,Norway,Europe,PASVIK-SVANVIK
0-20000-0-01086,149.35,Norway,Europe,BATSFJORD AP
0-20000-0-01088,38.7,Norway,Europe,VADSO AP
0-20000-0-01089,89,Norway,Europe,KIRKENES AP
0-20000-0-01091,740,Norway,Europe,LOSISTUA
0-20000-0-01092,9,Norway,Europe,MAKKAUR LH
0-20000-0-01098,10,Norway,Europe,VARDO
0-20000-0-01099,12.8,Norway,Europe,VARDO AP
0-20000-0-01102,23,Norway,Europe,SKLINNA LH
0-20000-0-01105,8,Norway,Europe,ROTVAER
0-20000-0-01107,4,Norway,Europe,ROST AP
0-20000-0-01108,4,Norway,Europe,VEGA-VALLSJO
0-20000-0-01112,7.71,Norway,Europe,BRONNOYSUND AP
0-20000-0-01114,9,Norway,Europe,REIPA
0-20000-0-01115,17,Norway,Europe,MYKEN
0-20000-0-01116,17.06,Norway,Europe,SANDNESSJOEN AP
0-20000-0-01117,21,Norway,Europe,TJOTTA
0-20000-0-01121,10,Norway,Europe,SOLVAER III
0-20000-0-01122,72,Norway,Europe,MOSJOEN AP
0-20000-0-01124,195,Norway,Europe,SNASA
0-20000-0-01132,319,Norway,Europe,MAJAVATN V
0-20000-0-01133,50,Norway,Europe,LAKSFORS
0-20000-0-01135,126,Norway,Europe,SELJELIA
0-20000-0-01136,302,Norway,Europe,RADAR Sømna
0-20000-0-01139,3.65,Norway,Europe,VAEROY HELIPORT
0-20000-0-01141,24.69,Norway,Europe,LEKNES AP
0-20000-0-01143,19,Norway,Europe,DRAG-AJLUOKTA
0-20000-0-01144,24,Norway,Europe,HELLIGVAER II
0-20000-0-01146,37,Norway,Europe,SKAMDAL
0-20000-0-01147,406,Norway,Europe,VARNTRESK
0-20000-0-01148,110,Norway,Europe,STORFORSHEI
0-20000-0-01150,251,Norway,Europe,HJARTASEN
0-20000-0-01151,69.69,Norway,Europe,MO I RANA AP
0-20000-0-01152,11,Norway,Europe,BODO VI
0-208-0-04203,11,Greenland,Europe,Kitsissut
0-208-0-04205,15.54,Greenland,Europe,Mittarfik Qaanaaq
0-208-0-04208,37.7,Greenland,Europe,Kitsissorsuit
0-208-0-04211,126.19,Greenland,Europe,Mittarfik Upernavik
0-208-0-04213,88.09,Greenland,Europe,Mittarfik Uummannaq-Qaarsut
0-20000-0-01156,7,Norway,Europe,BO I VESTERALEN
0-20000-0-01158,7,Norway,Europe,SETSA
0-20000-0-01160,11,Norway,Europe,SKROVA LH
0-20000-0-01161,8.22,Norway,Europe,SVOLVAER AP
0-20000-0-01162,3.35,Norway,Europe,STOKMARKNES AP
0-20000-0-01169,37,Norway,Europe,SALTDAL-NORDNES
0-20000-0-01180,45,Norway,Europe,HARSTAD
0-20000-0-01183,25.6,Norway,Europe,EVENES AP
0-20000-0-01192,200,Norway,Europe,STRAUMSNES
0-20000-0-01198,204,Norway,Europe,DIVIDALEN II
0-20000-0-01199,382,Norway,Europe,SIHCCAJAVRI
0-20000-0-01203,75,Norway,Europe,KRAKENES
0-20000-0-01205,38,Norway,Europe,SVINOY LH
0-20000-0-01209,74.06,Norway,Europe,ORSTA-VOLDA AP
0-20000-0-01210,22,Norway,Europe,ALESUND/VIGRA
0-20000-0-01212,20,Norway,Europe,ONA II
0-20000-0-01214,43,Norway,Europe,REKDAL
0-20000-0-01217,3.04,Norway,Europe,MOLDE AP
0-20000-0-01218,11,Norway,Europe,TAFJORD
0-20000-0-01220,1294,Norway,Europe,MANNEN
0-20000-0-01221,450,Norway,Europe,TAGDALEN
0-20000-0-01223,62.17,Norway,Europe,KRISTIANSUND AP
0-20000-0-01224,15,Norway,Europe,AALESUND
0-20000-0-01225,5,Norway,Europe,VEIHOLMEN
0-20000-0-01227,405,Norway,Europe,INNERDALEN
0-20000-0-01228,5,Norway,Europe,SULA
0-20000-0-01229,625,Norway,Europe,LEBERGSFJELLET
0-20000-0-01230,579,Norway,Europe,BJORLI
0-20000-0-01232,67,Norway,Europe,MARSTEIN
0-20000-0-01233,638,Norway,Europe,DOMBAS
0-20000-0-01234,4,Norway,Europe,ORKDAL-THAMSHAMN
0-20000-0-01237,13,Norway,Europe,HITRA
0-20000-0-01238,973,Norway,Europe,FOKSTUGU
0-20000-0-01239,1012,Norway,Europe,HJERKINN II
0-20000-0-01240,16,Norway,Europe,HALTEN LH
0-20000-0-01241,10,Norway,Europe,ORLAND III
0-20000-0-01242,30,Norway,Europe,AFJORD II
0-20000-0-01245,604,Norway,Europe,OPPDAL-SETER
0-20000-0-01250,694,Norway,Europe,FOLLDAL-FREDHEIM
0-20000-0-01253,299,Norway,Europe,SOKNEDAL
0-20000-0-01254,127,Norway,Europe,KOTSOY
0-20000-0-01257,127,Norway,Europe,TRONDHEIM-VOLL
0-20000-0-01259,18,Norway,Europe,BUHOLMRASA LH
0-20000-0-01262,33,Norway,Europe,NORDOYAN LH
0-20000-0-01265,482,Norway,Europe,TYNSET-HANSMOEN
0-20000-0-01270,27,Norway,Europe,KVITHAMAR
0-20000-0-01271,12,Norway,Europe,TRONDHEIM/VERNES
0-20000-0-01272,32,Norway,Europe,FROSTA
0-20000-0-01273,160,Norway,Europe,SELBU
0-20000-0-01277,6,Norway,Europe,STEINKJER
0-20000-0-01281,140,Norway,Europe,NAMSSKOGAN
0-20000-0-01282,4.26,Norway,Europe,RORVIK AP
0-20000-0-01287,747,Norway,Europe,SOLENDET
0-20000-0-01288,625,Norway,Europe,ROROS AP
